✅ Loaded 8091 valid samples
Epoch 1 | Batch 1260 | Loss: 0.4810
Epoch 1 | Batch 1270 | Loss: 1.0818
Epoch 1 | Batch 1280 | Loss: 0.5839
Epoch 1 | Batch 1290 | Loss: 0.6487
Epoch 1 | Batch 1300 | Loss: 0.6439
Epoch 1 | Batch 1310 | Loss: 0.5712
Epoch 1 | Batch 1320 | Loss: 0.6549
Epoch 1 | Batch 1330 | Loss: 0.5218
Epoch 1 | Batch 1340 | Loss: 0.4563
Epoch 1 | Batch 1350 | Loss: 0.6857
Epoch 1 | Batch 1360 | Loss: 0.6627
Epoch 1 | Batch 1370 | Loss: 0.4425
Epoch 1 | Batch 1380 | Loss: 0.4278
Epoch 1 | Batch 1390 | Loss: 0.5991
Epoch 1 | Batch 1400 | Loss: 0.4865
Epoch 1 | Batch 1410 | Loss: 0.6555
Epoch 1 | Batch 1420 | Loss: 0.5589
Epoch 1 | Batch 1430 | Loss: 0.8001
Epoch 1 | Batch 1440 | Loss: 0.3761
Epoch 1 | Batch 1450 | Loss: 0.6544
Epoch 1 | Batch 1460 | Loss: 0.3713
Epoch 1 | Batch 1470 | Loss: 0.5994
Epoch 1 | Batch 1480 | Loss: 0.4962
Epoch 1 | Batch 1490 | Loss: 0.7410
Epoch 1 | Batch 1500 | Loss: 0.6923
Epoch 1 | Batch 1510 | Loss: 0.7400
Epoch 1 | Batch 1520 | Loss: 0.4691
Epoch 1 | Batch 1530 | Loss: 0.4248
Epoch 1 | Batch 1540 | Loss: 0.5530
Epoch 1 | Batch 1550 | Loss: 0.8561
Epoch 1 | Batch 1560 | Loss: 0.8146
Epoch 1 | Batch 1570 | Loss: 0.5855
Epoch 1 | Batch 1580 | Loss: 0.5114
Epoch 1 | Batch 1590 | Loss: 0.7690
Epoch 1 | Batch 1600 | Loss: 0.6382
Epoch 1 | Batch 1610 | Loss: 0.6359
Epoch 1 | Batch 1620 | Loss: 0.8335
Epoch 1 | Batch 1630 | Loss: 0.6071
Epoch 1 | Batch 1640 | Loss: 0.5175
Epoch 1 | Batch 1650 | Loss: 0.4136
Epoch 1 | Batch 1660 | Loss: 0.6513
Epoch 1 | Batch 1670 | Loss: 0.5982
Epoch 1 | Batch 1680 | Loss: 0.4080
Epoch 1 | Batch 1690 | Loss: 0.9399
Epoch 1 | Batch 1700 | Loss: 0.6562
Epoch 1 | Batch 1710 | Loss: 0.5465
Epoch 1 | Batch 1720 | Loss: 0.9936
Epoch 1 | Batch 1730 | Loss: 0.5939
Epoch 1 | Batch 1740 | Loss: 0.2779
Epoch 1 | Batch 1750 | Loss: 0.5248
Epoch 1 | Batch 1760 | Loss: 0.5777
Epoch 1 | Batch 1770 | Loss: 0.6632
Epoch 1 | Batch 1780 | Loss: 0.7170
Epoch 1 | Batch 1790 | Loss: 0.5115
Epoch 1 | Batch 1800 | Loss: 0.5615
Epoch 1 | Batch 1810 | Loss: 0.5437
Epoch 1 | Batch 1820 | Loss: 0.5000
Epoch 1 | Batch 1830 | Loss: 0.5046
Epoch 1 | Batch 1840 | Loss: 0.3200
Epoch 1 | Batch 1850 | Loss: 0.4420
Epoch 1 | Batch 1860 | Loss: 0.5447
Epoch 1 | Batch 1870 | Loss: 0.5840
Epoch 1 | Batch 1880 | Loss: 0.9879
Epoch 1 | Batch 1890 | Loss: 0.6109
Epoch 1 | Batch 1900 | Loss: 0.6644
Epoch 1 | Batch 1910 | Loss: 0.6474
Epoch 1 | Batch 1920 | Loss: 0.5098
Epoch 1 | Batch 1930 | Loss: 0.8831
Epoch 1 | Batch 1940 | Loss: 0.6805
Epoch 1 | Batch 1950 | Loss: 0.4914
Epoch 1 | Batch 1960 | Loss: 0.5074
Epoch 1 | Batch 1970 | Loss: 0.6654
Epoch 1 | Batch 1980 | Loss: 0.5129
Epoch 1 | Batch 1990 | Loss: 0.5988
Epoch 1 | Batch 2000 | Loss: 0.9695
Epoch 1 | Batch 2010 | Loss: 0.3153
Epoch 1 | Batch 2020 | Loss: 0.5536
✅ Epoch 1 Completed | Total Loss: 1532.2086
Epoch 2 | Batch 0 | Loss: 0.6063
Epoch 2 | Batch 10 | Loss: 0.7249
Epoch 2 | Batch 20 | Loss: 0.5306
Epoch 2 | Batch 30 | Loss: 0.4871
Epoch 2 | Batch 40 | Loss: 0.4343
Epoch 2 | Batch 50 | Loss: 0.2262
Epoch 2 | Batch 60 | Loss: 0.4561
Epoch 2 | Batch 70 | Loss: 0.6688
Epoch 2 | Batch 80 | Loss: 0.6786
Epoch 2 | Batch 90 | Loss: 0.3943
Epoch 2 | Batch 100 | Loss: 0.4368
Epoch 2 | Batch 110 | Loss: 0.2463
Epoch 2 | Batch 120 | Loss: 0.4236
Epoch 2 | Batch 130 | Loss: 0.2660
Epoch 2 | Batch 140 | Loss: 0.3979
Epoch 2 | Batch 150 | Loss: 0.4484
Epoch 2 | Batch 160 | Loss: 0.5079
Epoch 2 | Batch 170 | Loss: 0.2935
Epoch 2 | Batch 180 | Loss: 0.3239
Epoch 2 | Batch 190 | Loss: 0.4343
Epoch 2 | Batch 200 | Loss: 0.3432
Epoch 2 | Batch 210 | Loss: 0.4396
Epoch 2 | Batch 220 | Loss: 0.5818
Epoch 2 | Batch 230 | Loss: 0.4208
Epoch 2 | Batch 240 | Loss: 0.5264
Epoch 2 | Batch 250 | Loss: 0.5317
Epoch 2 | Batch 260 | Loss: 0.2630
Epoch 2 | Batch 270 | Loss: 0.5965
Epoch 2 | Batch 280 | Loss: 0.4428
Epoch 2 | Batch 290 | Loss: 0.3702
Epoch 2 | Batch 300 | Loss: 0.4250
Epoch 2 | Batch 310 | Loss: 0.4723
Epoch 2 | Batch 320 | Loss: 0.5780
Epoch 2 | Batch 330 | Loss: 0.3968
Epoch 2 | Batch 340 | Loss: 0.4132
Epoch 2 | Batch 350 | Loss: 0.4085
Epoch 2 | Batch 360 | Loss: 0.3862
Epoch 2 | Batch 370 | Loss: 0.6492
Epoch 2 | Batch 380 | Loss: 0.3914
Epoch 2 | Batch 390 | Loss: 0.3126
Epoch 2 | Batch 400 | Loss: 0.4254
Epoch 2 | Batch 410 | Loss: 0.5925
Epoch 2 | Batch 420 | Loss: 0.2957
Epoch 2 | Batch 430 | Loss: 0.4748
Epoch 2 | Batch 440 | Loss: 0.5390
Epoch 2 | Batch 450 | Loss: 0.3613
Epoch 2 | Batch 460 | Loss: 0.4119
Epoch 2 | Batch 470 | Loss: 0.4683
Epoch 2 | Batch 480 | Loss: 0.6485
Epoch 2 | Batch 490 | Loss: 0.5746
Epoch 2 | Batch 500 | Loss: 0.4364
Epoch 2 | Batch 510 | Loss: 0.4941
Epoch 2 | Batch 520 | Loss: 0.3443
Epoch 2 | Batch 530 | Loss: 0.4767
Epoch 2 | Batch 540 | Loss: 0.3922
Epoch 2 | Batch 550 | Loss: 0.3950
Epoch 2 | Batch 560 | Loss: 0.6975
Epoch 2 | Batch 570 | Loss: 0.4498
Epoch 2 | Batch 580 | Loss: 0.4015
Epoch 2 | Batch 590 | Loss: 0.4000
Epoch 2 | Batch 600 | Loss: 0.3569
Epoch 2 | Batch 610 | Loss: 0.5436
Epoch 2 | Batch 620 | Loss: 0.3522
Epoch 2 | Batch 630 | Loss: 0.2874
Epoch 2 | Batch 640 | Loss: 0.3294
Epoch 2 | Batch 650 | Loss: 0.4663
Epoch 2 | Batch 660 | Loss: 0.7207
Epoch 2 | Batch 670 | Loss: 0.4664
Epoch 2 | Batch 680 | Loss: 0.4235
Epoch 2 | Batch 690 | Loss: 0.4199
Epoch 2 | Batch 700 | Loss: 0.4352
Epoch 2 | Batch 710 | Loss: 0.3032
Epoch 2 | Batch 720 | Loss: 0.5577
Epoch 2 | Batch 730 | Loss: 0.3777
Epoch 2 | Batch 740 | Loss: 0.3879
Epoch 2 | Batch 750 | Loss: 0.4764
Epoch 2 | Batch 760 | Loss: 0.4590
Epoch 2 | Batch 770 | Loss: 0.3853
Epoch 2 | Batch 780 | Loss: 0.4318
Epoch 2 | Batch 790 | Loss: 0.4885
Epoch 2 | Batch 800 | Loss: 0.5532
